tweet_id,sentiment,content
2000000000,surprise,"Two days left, and I’ve only got 400MB to spare!"
2000000001,surprise,"My on-peak downloads are down to 400MB, with just two days left."
2000000002,surprise,"Wow, 400MB for two days? Might as well ration it like gold!"
2000000003,surprise,Two days left and 400MB of data... guess it’s survival mode.
2000000004,surprise,Only 400MB left for the next two days—this will be interesting.
2000000005,surprise,I’ve somehow got only 400MB left for the rest of the month!
2000000006,surprise,@Bern_morley are you in Bris? Can’t hear any thunder!
2000000007,surprise,"Where’s the thunder, @Bern_morley? Are you around Bris?"
2000000008,surprise,"@Bern_morley, is it really Bris without any thunder?"
2000000009,surprise,"Looks like thunder’s missing from Bris, @Bern_morley. Where you at?"
2000000010,surprise,"@Bern_morley in Bris, but it’s oddly silent... where’s the thunder?"
2000000011,surprise,"No thunder in Bris, and I’m wondering where @Bern_morley’s hiding."
2000000012,surprise,Burgers vs. salads... burger’s always the winner!
2000000013,surprise,"Guess what, junk food wins again. I’ll beat it next weekend!"
2000000014,surprise,"This weekend, I’ll finally conquer the fast-food cravings!"
2000000015,surprise,"Junk food’s winning, but next weekend, it’s my turn!"
2000000016,surprise,"One day, I’ll resist the junk food... just not this week."
2000000017,surprise,"junk food won again, but next weekend, I’ll get back on track!"
2000000018,surprise,"Had a dream about a gorgeous beach, but it was gone when I woke up."
2000000019,surprise,"Dreamt of a perfect beach, then woke up and... no beach."
2000000020,surprise,The beach in my dream was so real... then I woke up!
2000000021,surprise,"Woke up to reality, and the beach from my dream vanished."
2000000022,surprise,"That perfect beach only exists in my dreams, I guess."
2000000023,surprise,"Dreamt of a beautiful beach, but the morning said, ""nope."""
2000000024,surprise,When will the garage guy get here?! WHEN?!
2000000025,surprise,"I keep waiting, but when is the garage guy actually coming?"
2000000026,surprise,"Garage guy, where are you? The suspense is real."
2000000027,surprise,Still no sign of the garage man... WHEN is he coming?
2000000028,surprise,Asking myself when the garage guy will finally arrive…
2000000029,surprise,Garage guy keeps me waiting; I’m losing patience over here!
2000000030,surprise,Why am I doing Facebook quizzes at this hour? It’s Friday!
2000000031,surprise,Can’t believe I’m doing Facebook quizzes on a Friday morning...
2000000032,surprise,"Here I am, doing Facebook quizzes at dawn on a Friday."
2000000033,surprise,Facebook quizzes this early on a Friday? What am I thinking?
2000000034,surprise,How did I end up doing Facebook quizzes on Friday morning?
2000000035,surprise,"Of all things, Facebook quizzes at this hour... it’s Friday!"
2000000036,surprise,"@Gurlstrange at EpiCentre Wheelock Place, with 250 units just for tourists starting today."
2000000037,surprise,Saw @Gurlstrange’s post about EpiCentre Wheelock Place... only tourists?
2000000038,surprise,"Apparently, EpiCentre Wheelock Place is rolling out 250 units for tourists, thanks, @Gurlstrange!"
2000000039,surprise,@Gurlstrange dropped the news: EpiCentre’s tourist-only rollout at Wheelock Place!
2000000040,surprise,"@Gurlstrange says 250 units at EpiCentre Wheelock, just for tourists. Starting now!"
2000000041,surprise,"Big news from @Gurlstrange about Wheelock Place—250 units, all for tourists!"
2000000042,surprise,"@FoxxFiles, you’re keeping secrets from me! Not fair!"
2000000043,surprise,Wish @FoxxFiles would let me in on the secret!
2000000044,surprise,"Come on, @FoxxFiles, spill the beans!"
2000000045,surprise,"Keeping secrets, @FoxxFiles? Not cool!"
2000000046,surprise,"@FoxxFiles has a secret, and I’m dying to know!"
2000000047,surprise,Why’s @FoxxFiles keeping secrets? Fill me in!
2000000048,surprise,"I’m here, overthinking... at work, no less!"
2000000049,surprise,"Too much thinking, and I’m supposed to be working..."
2000000050,surprise,"Lost in thought, and I should be focused on work."
2000000051,surprise,Thinking way too much on the job today.
2000000052,surprise,So many thoughts... and here I am at work.
2000000053,surprise,"Can’t stop overthinking, and it’s work hours!"
2000000054,surprise,"@heavenjones, aren’t you supposed to be in BK? What’s going on?"
2000000055,surprise,"I thought you were in BK, @heavenjones! What happened?"
2000000056,surprise,"@heavenjones, why aren’t you in BK? Missing you here!"
